design,epoch,train_loss,train_acc,val_acc,test_acc
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",10,0.9595918072306592,0.7296734138458921,0.7358642972536349,0.7274476786143854
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",11,0.9571071318958116,0.7415376764755911,0.7487883683360258,0.7416406062063988
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",12,0.9563593605290288,0.7444293247150876,0.747172859450727,0.7474140004811162
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",13,0.955698074206062,0.7481714577309067,0.7512116316639742,0.7488573490497955
"[['C(U3)', [0, 3]], ['C(U3)', [2, 3]], ['C(U3)', [2, 3]], ['U3', [0]], ['U3', [1]], ['C(U3)', [1, 0]], ['C(U3)', [1, 3]], ['C(U3)', [2, 3]], ['C(U3)', [1, 2]], ['C(U3)', [0, 1]], ['C(U3)', [2, 3]], ['C(U3)', [3, 0]], ['C(U3)', [1, 3]], ['C(U3)', [3, 1]], ['U3', [3]], ['C(U3)', [2, 0]], ['U3', [2]], ['U3', [3]], ['U3', [2]], ['C(U3)', [0, 2]], ['U3', [2]], ['U3', [0]], ['U3', [0]], ['C(U3)', [0, 3]], ['C(U3)', [3, 1]], ['U3', [1]], ['C(U3)', [1, 3]]]",14,0.9562243858109349,0.7406446674604524,0.7504038772213247,0.7442867452489776
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",0,1.079132747390996,0.719765266201735,0.7189014539579968,0.7248015395718066
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",1,1.0466778161733046,0.7329052559959177,0.7447495961227787,0.7353860957421218
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",2,1.024044069259063,0.7285252593978567,0.7447495961227787,0.7281693528987251
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",3,0.9973932971125063,0.739496513012417,0.7495961227786753,0.7409189319220592
"[['U3', [0]], ['U3', [3]], ['C(U3)', [3, 0]], ['U3', [0]], ['C(U3)', [3, 2]], ['C(U3)', [3, 0]], ['C(U3)', [1, 2]], ['U3', [0]], ['C(U3)', [2, 3]], ['U3', [1]], ['C(U3)', [1, 3]], ['C(U3)', [1, 3]], ['U3', [2]], ['C(U3)', [0, 1]], ['C(U3)', [0, 1]], ['U3', [1]], ['C(U3)', [0, 3]], ['C(U3)', [3, 2]], ['C(U3)', [1, 2]], ['U3', [1]], ['U3', [0]], ['U3', [3]], ['C(U3)', [0, 3]], ['U3', [3]], ['C(U3)', [3, 2]]]",4,0.9904952288969703,0.7500850484776322,0.7584814216478191,0.7579985566514313
